Id;Name;Username;UserAvatar
1;Austria;Austria;Austria.png
2;Portugal;Portugal;Portugal.png
3;Switzerland;Switzerland;Switzerland.png
4;Poland;Poland;Poland.png
5;Serbia;Serbia;Serbia.png
6;France;France;France.png
7;Cyprus;Cyprus;Cyprus.png
8;Spain;Spain;Spain.png
9;Sweden;Sweden;Sweden.png
10;Albania;Albania;Albania.png
11;Italy;Italy;Italy.png
12;Estonia;Estonia;Estonia.png
13;Finland;Finland;Finland.png
14;Czechia;Czechia;Czechia.png
15;Australia;Australia;Australia.png
16;Belgium;Belgium;Belgium.png
17;Armenia;Armenia;Armenia.png
18;Moldova;Moldova;Moldova.png
19;Ukraine;Ukraine;Ukraine.png
20;Norway;Norway;Norway.png
21;Germany;Germany;Germany.png
22;Lithuania;Lithuania;Lithuania.png
23;Israel;Israel;Israel.png
24;Slovenia;Slovenia;Slovenia.png
25;Croatia;Croatia;Croatia.png
26;United Kingdom;United Kingdom;UK.png
